CARD.  1. CARD ONE 
"Q.8B. IN YOUR OWN OPINION, ARE YOU PHYSICALLY FIT FOR OVERSEAS DUTY*  1. YES 2. NO 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.9. DO YOU KNOW WHAT YOUR OWN SCORE IS UNDER THE ARMY SCORE CARD PLAN (POINT SYSTEM) FOR DECIDING WHICH MEN ARE ELIGIBLE TO BE DECLARED SURPLUS*  ANP (ACTUAL SCORE) 01. 1 POINT . . . 93. 93 POINTS 94.94-99 POINTS 95.100-109 POINTS 96.100-119 POINTS 97.120 POINTS AND OVER 98.NO, I DO NOT KNOW WHAT MY POINT SCORE IS 99.NO ANSWER 00.NO CODE OR NO DATA "
"Q.10. WHAT BRANCH OF THE ARMY ARE YOU IN NOW* Z. IF IN AIR FORCE NOW (CODES 01-03); IF IN GROUND FORCES OR SERVICE FORCES NOW (CODES 11-31).  01. FLYING JOB 02. GROUND CREW, AIRCRAFT MAINTENANCE AND REPAIR 03. SOME OTHER GROUND JOB 11. ENGINEERS 12. QUARTERMASTER CORPS 13. MEDICAL DEPARTMENT 14. SIGNAL CORPS 15. TRANSPORTATION CORPS 16. ORDNANCE DEPARTMENT 17. CHEMICAL WARFARE SERVICE 18. MILITARY POLICE 21. INFANTRY 22. FIELD ARTILLERY 23. COAST ARTILLERY OR AAA 24. ARMORED FORCE OR TD 31. DEML (STATION COMPLEMENT) 41. OTHER 98. NO ANSWER 00. NO CODE OR NO DATA "
Q.11. HOW DO YOU FEEL ABOUT BEING IN YOUR PRESENT ARM OR BRANCH*  1. VERY WELL SATISFIED 2. FAIRLY WELL SATISFIED 3. SOMEWHAT DISSATISFIED 4. VERY DISSATISFIED 5. NO ANSWER 0. NO CODE OR NO DATA 
"Q.12. (A) WHAT IS YOUR MAIN ARMY DUTY AT PRESENT* (B) IF YOU ARE NOT WORKING ON A REGULAR JOB NOW, HOW LONG HAS IT BEEN SINCE YOU HAD A REGULAR JOB (CODES 03-10):  01. I AM WORKING ON A REGULAR JOB 02. I AM TAKING TRAINING NOW OR GOING TO SCHOOL 03. I DON,T HAVE ANY REGULAR DUTIES NOW, NO ANSWER TO PART B 04. 1 WEEK OR LESS 05. OVER 1 WEEK UP TO 2 WEEKS 06. OVER 2 WEEKS UP TO 3 WEEKS 07. OVER 3 WEEKS UP TO 4 WEEKS 08. OVER 4 WEEKS UP TO 5 WEEKS 09. OVER 5 WEEKS UP TO 6 WEEKS 10. OVER 6 WEEKS 99. NO ANSWER 00. NO CODE OR NO DATA "
"Q.13. HOW DO YOU FEEL ABOUT THE IMPORTANCE OF THE WORK YOU ARE DOING RIGHT NOW AS COMPARED WITH OTHER JOBS YOU MIGHT BE DOING IN THE ARMY*  1. IT IS AS IMPORTANT AS ANY OTHER JOB I COULD DO 2. IT IS FAIRLY IMPORTANT, BUT I COULD DO MORE IMPORTANT WORK 3. IT HARDLY SEEMS IMPORTANT AT ALL 4. NO ANSWER 0. NO CODE OR NO DATA "
Q.14. DOES THE ARMY JOB YOU NOW HAVE GIVE YOU A CHANCE TO USE YOUR SKILL AND EXPERIENCE*  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 6. NO ANSWER 0. NO CODE OR NO DATA 
Q.15. WOULD YOU CHANGE TO SOME OTHER ARMY JOB IF GIVEN A CHANCE*  1. YES 2. NO 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA 
"Q.16. HOW DO YOU FEEL ABOUT THE AMOUNT OF WORK YOU HAVE TO DO*  1. I HAVE TOO MUCH TO DO, BUT MOST OF IT IS NECESSARY 2. I HAVE TOO MUCH TO DO AND A LOT OF IT IS UNNECESSARY 3. I HAVE ABOUT THE RIGHT AMOUNT OF WORK TO DO 4. I AM NOT KEPT VERY BUSY, BUT I DON,T MIND SITTING AROUND 5. I DON,T HAVE ENOUGH TO DO, AND IT GETS PRETTY TIRESOME SITTING AROUND 6. NO ANSWER 0. NO CODE OR NO DATA "
Q.17. HOW SATISFIED OR DISSATISFIED ARE YOU WITH YOUR PRESENT ARMY JOB*  1. VERY SATISFIED 2. SATISFIED 3. DISSATISFIED 4. VERY DISSATISFIED 5. UNDECIDED 6. NO ANSWER 0. NO CODE OR NO DATA 
"Q.18. WOULD YOU HONESTLY SAY THAT YOU USUALLY PUT ALL YOU HAVE INTO YOUR REGULAR ARMY DUTIES, OR DO YOU USUALLY JUST WORK HARD ENOUGH TO GET BY*  1. I USUALLY PUT ALL I HAVE INTO IT 2. I USUALLY WORK HARD BUT I COULD DO MORE 3. I USUALLY WORK JUST HARD ENOUGH TO GET BY 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.19. IN YOUR OPINION IS YOUR PRESENT UNIT EFFICIENT* THAT IS, IS IT RUN SO THAT THE ARMY GETS THE MOST OUT OF IT*  1. YES, OUR OUTFIT IS VERY EFFICIENT 2. YES, OUR OUTFIT IS PRETTY EFFICIENT 3. YES, BUT THERE IS SOME WASTED WORK OR IDLE TIME 4. NO, THERE IS A LOT OF USELESS WORK AND CONFUSION 5. NO, THERE ISN,T ENOUGH WORK TO KEEP US ALL BUSY 6. NO ANSWER 0. NO CODE OR NO DATA "
"Q.20. WERE YOU EVER OVERSEAS OR STATIONED OUTSIDE OF THE 48 STATES IN THIS WAR*  1. NO (NON-RETURNEES) 2. YES (OVERSEAS RETURNEES) P. IF YOU WERE OVERSEAS IN THIS WAR OR STATIONED OUTSIDE OF THE UNITED STATES, ANSWER QUESTIONS 21-34. IF NOT, SKIP TO QUESTION 35. P. TO BE ANSWERED BY OVERSEAS RETURNEES ONLY: "
"Q.21. HOW LONG HAVE YOU BEEN BACK IN THE STATES (COUNT FROM THE MONTH YOU ACTUALLY ARRIVED BACK IN THE UNITED STATES)*  1. 1 MONTH OR LESS BACK IN THE STATES 2. OVER 1 MONTH UP TO 2 MONTHS 3. OVER 2 MONTHS UP TO 3 MONTHS 4. OVER 3 MONTHS UP TO 6 MONTHS 5. OVER 6 MONTHS UP TO 9 MONTHS 6. OVER 9 MONTHS UP TO 12 MONTHS 7. OVER 12 MONTHS UP TO 18 MONTHS 8. OVER 18 MONTHS 0. Q.20 CHECKED YES, NO ANSWER TO Q.21 9. INAPPLICABLE (NON-RETURNEES) "
Q.22. WERE YOU SENT BACK TO THE STATES UNDER THE ROTATION PLAN OR FOR SOME OTHER REASON*  1. I WAS SENT BACK UNDER THE ROTATION PLAN 2. I WAS SENT BACK FOR SOME OTHER REASON 3. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA 
"Q.23. IN WHAT OVERSEAS THEATER OR AREA DID YOU LAST SERVE*  01. EUROPEAN THEATER (BRITISH ISLES, FRANCE, GERMANY) 02. MEDITERRANEAN THEATER (ITALY, NORTH AFRICA) 03. CARIBBEAN, PANAMA 04. SOUTHWEST PACIFIC AREA (AUSTRALIA, NEW GUINEA, PHILIPPINES) 05. SOUTH PACIFIC BASE COMMAND (NEW CALEDONIA, GUADALCANAL, ETC.) 06. CENTRAL PACIFIC BASE COMMAND (HAWAII, KWAJALEIN, SAIPAN, ETC.) 07. ALASKA, ALEUTIANS 08. MIDDLE EAST (CAIRO, PALESTINE, IRAN) 09. CHINA, BURMA, INDIA 10. OTHER PLACE 99. INAPPLICABLE (NON-RETURNEES) 00. NO ANSWER "
"Q.24. HAVE YOU BEEN IN COMBAT OR UNDER ENEMY FIRE IN THIS WAR*  1. NO 2. YES, I HAVE BEEN UNDER ENEMY FIRE, BUT NOT IN ACTUAL COMBAT 3. YES, I HAVE BEEN IN ACTUAL COMBAT 4. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.25. KNOWING WHAT YOU DO NOW, HOW DO YOU FEEL ABOUT HAVING COME BACK TO THE U.S.*  1. I WISH I HADN,T COME BACK 2. I WOULD RATHER HAVE COME BACK JUST FOR A FURLOUGH AND THEN RETURNED TO MY OLD OUTFIT OVERSEAS 3. I AM GLAD I CAME BACK 4. SOMETHING ELSE 5. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.26. WHAT WAS THE BRANCH OF SERVICE THAT YOU WERE LAST IN WHILE YOU WERE OVERSEAS* Z. IF IN AIR FORCE OVERSEAS (CODES 01-03); IF IN GROUND FORCES OR SERVICE FORCES OVERSEAS (CODES 11-31).  01. FLYING JOB 02. GROUND CREW, AIRCRAFT MAINTENANCE AND REPAIR 03. SOME OTHER GROUND JOB 11. ENGINEERS 12. QUARTERMASTER CORPS 13. MEDICAL DEPARTMENT 14. SIGNAL CORPS 15. TRANSPORTATION CORPS 16. ORDNANCE DEPARTMENT 17. CHEMICAL WARFARE SERVICE 18. MILITARY POLICE 21. INFANTRY 22. FIELD ARTILLERY 23. COAST ARTILLERY OR AAA 24. ARMORED FORCE OR TD 31. DEML (NO BRANCH ASSIGNED) 41. OTHER 98. NO ANSWER 99. INAPPLICABLE (NON-RETURNEES) 00. NO CODE OR NO DATA "
Q.27. ARE YOU IN THE ARMY JOB YOU THOUGHT YOU MIGHT GET WHEN YOU WERE CLASSIFIED AT THE REDISTRIBUTION STATION*  1. YES 2. NO 3. I NEVER WENT THROUGH A REDISTRIBUTION STATION 4. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA 
"Q.28. CHECK ALL OF THE FOLLOWING THINGS THAT ARE TRUE ABOUT YOUR PRESENT ARMY JOB:  1. I DON,T HAVE A JOB AT THIS POST YET 2. I NEVER DID THIS KIND OF WORK UNTIL AFTER I CAME BACK TO THE UNITED STATES 3. I DID THIS KIND OF WORK OVERSEAS 4. I DID THIS KIND OF WORK IN THE ARMY BEFORE I WENT OVERSEAS 5. I DID THIS KIND OF WORK IN CIVILIAN LIFE 6. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.29A. ARE YOU NOW TAKING A BASIC MILITARY TRAINING COURSE, EITHER A COMPLETE COURSE OR A SHORT REFRESHER COURSE*  1. NO 2. YES 3. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.29B. SINCE YOU GOT BACK TO THE STATES, HAVE YOU COMPLETED A BASIC MILITARY TRAINING COURSE, EITHER A COMPLETE COURSE OR A SHORT REFRESHER COURSE*  1. NO 2. YES, ONCE 3. YES, MORE THAN ONCE 4. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.29C. IF YOU HAVE TAKEN A REPEAT OR REFRESHER COURSE IN BASIC MILITARY TRAINING SINCE YOU GOT BACK TO THE STATES, HOW MUCH DID YOU GET OUT OF IT*  1. I NEVER TOOK A REPEAT OR REFRESHER COURSE SINCE I GOT BACK TO THE STATES 2. I GOT A GREAT DEAL OUT OF IT 3. I GOT ENOUGH OUT OF IT TO MAKE IT WORTH WHILE 4. I GOT A LITTLE OUT OF IT, BUT NOT MUCH 5. I DIDN,T GET ANYTHING OUT OF IT, AND CONSIDER IT A WASTE OF TIME 6. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.30A. SINCE YOU RETURNED TO THE STATES, HAVE YOU TAKEN ANY SPECIALIST OR TECHNICAL TRAINING COURSES FOR A SPECIAL KIND OF ARMY JOB* (SUCH AS COOK, TRUCK DRIVER, CLERK, INSTRUCTOR, RADIO OPERATOR, TRUCK MECHANIC, OR OTHERS.)  1. NO 2. I AM TAKING A SPECIALIST OR TECHNICAL TRAINING COURSE NOW 3. YES, I HAVE TAKEN ONE OR MORE SPECIALIST OR TECHNICAL TRAINING COURSES SINCE I GOT BACK 4. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.30C. ARE THERE ANY OF THESE SPECIALIST OR TECHNICAL TRAINING COURSES THAT YOU HAVE NEVER USED ON AN ARMY JOB*  1. I HAVEN,T HAD ANY SPECIALIST OR TECHNICAL TRAINING COURSES SINCE I RETURNED TO THE STATES 2. I HAVE USED EACH OF THE COURSES I,VE TAKEN SINCE I GOT BACK 3. I HAVE TAKEN ONE OR MORE COURSES SINCE I GOT BACK THAT I HAVE NEVER USED 4. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.30D. IN YOUR PRESENT ARMY JOB OR DUTIES, HOW MUCH ARE YOU USING THE SPECIALIST OR TECHNICAL TRAINING COURSES YOU HAVE HAD SINCE YOU GOT BACK TO THE STATES*  1. I HAVEN,T HAD ANY SPECIALIST OR TECHNICAL TRAINING COURSES SINCE I GOT BACK 2. I USE ALL OF MY SPECIALIST OR TECHNICAL TRAINING IN MY PRESENT JOB 3. I USE MOST OF MY SPECIALIST OR TECHNICAL TRAINING IN MY PRESENT JOB 4. I USE ABOUT HALF OF IT 5. I USE HARDLY ANY OF IT 6. I NEVER USE MY SPECIALIST OR TECHNICAL TRAINING 7. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
"Q.31. SINCE YOU CAME BACK FROM OVERSEAS, HAVE YOU DONE PRETTY MUCH THE SAME KIND OF WORK ALL THE TIME, OR HAVE YOU BEEN SHIFTED AROUND FROM JOB TO JOB*  1. I HAVE BEEN IN TRAINING MOST OF THE TIME SINCE I GOT BACK 2. I HAVE HAD ONE KIND OF JOB ALL THE TIME SINCE I GOT BACK 3. I HAVE HAD DIFFERENT JOBS, BUT THEY WERE A LOT ALIKE 4. I HAVE HAD SEVERAL JOBS THAT USED ENTIRELY DIFFERENT SKILLS 5. I HAVE HAD DIFFERENT JOBS, BUT NONE OF THEM REQUIRED MUCH SPECIAL SKILL OR TRAINING 6. NO ANSWER 9. INAPPLICABLE (NON-RETURNEES) 0. NO CODE OR NO DATA "
Q.32A. HOW MANY DIFFERENT TYPES OF ARMY JOBS HAVE YOU BEEN TRAINED FOR SINCE YOU HAVE COME BACK FROM OVERSEAS* (WRITE IN THE NUMBER.)  01. ONE 02. TWO 03. THREE 04. FOUR 05. FIVE 06. SIX 07. SEVEN 08. EIGHT 09. NINE 10. TEN OR MORE 11. NONE 12. NO ANSWER 99. INAPPLICABLE (NON-RETURNEES) 
"Q.32B. OF THESE JOBS YOU HAVE BEEN TRAINED FOR, HOW MANY HAVE YOU ACTUALLY DONE SINCE YOU,VE COME BACK FROM OVERSEAS* (WRITE IN THE NUMBER)  01. ONE 02. TWO 03. THREE 04. FOUR 05. FIVE 06. SIX 07. SEVEN 08. EIGHT 09. NINE 10. TEN OR MORE 11. NONE 12. NO ANSWER 99. INAPPLICABLE (NON-RETURNEES) 00. NO CODE OR NO DATA X. Q.33A AND Q.34 FOR OVERSEAS RETURNEES CODED IN CARD 1, COLS. 64, 65. P. OVERSEAS RETURNEES WILL NOW SKIP TO Q.43. P. QUESTIONS 35 THROUGH 42 ARE FOR MEN WHO HAVE NOT BEEN OVERSEAS OR STATIONED OUTSIDE OF THE 48 STATES IN THIS WAR. RETURNEES SKIP TO QUESTION 43. "
"Q.36. IF YOU HAD YOUR CHOICE, WOULD YOU RATHER BE STATIONED AT THIS POST OR AT THE ONE IN THIS COUNTRY WHERE YOU WERE LAST REGULARLY STATIONED BEFORE COMING HERE*  1. I WOULD RATHER BE STATIONED HERE 2. I WOULD RATHER BE AT THE PLACE I WAS LAST STATIONED 3. IT WOULD MAKE NO DIFFERENCE 4. I HAVE NEVER BEEN STATIONED AT ANY OTHER CAMP 5. NO ANSWER 9. INAPPLICABLE (OVERSEAS RETURNEES) "
"Q.37A. ARE YOU NOW TAKING A BASIC MILITARY TRAINING COURSE, EITHER A COMPLETE COURSE OR A SHORT REFRESHER COURSE*  1. NO 2. YES 3. NO ANSWER 0. NO CODE OR NO DATA 9. INAPPLICABLE (OVERSEAS RETURNEES) "
"Q.37B. SINCE YOU HAVE BEEN IN THE ARMY, HAVE YOU COMPLETED A BASIC MILITARY TRAINING COURSE, EITHER A COMPLETE COURSE OR A SHORT REFRESHER COURSE*  1. NO 2. YES, ONCE 3. YES, MORE THAN ONCE 4. NO ANSWER 0. NO CODE OR NO DATA 9. INAPPLICABLE (OVERSEAS RETURNEES) "
"Q.37C. IF YOU HAVE TAKEN A REPEAT OR REFRESHER COURSE IN BASIC MILITARY TRAINING, HOW MUCH DID YOU GET OUT OF IT*  1. I NEVER TOOK A REPEAT OR REFRESHER COURSE 2. I GOT A GREAT DEAL OUT OF IT 3. I GOT ENOUGH OUT OF IT TO MAKE IT WORTH WHILE 4. I GOT A LITTLE OUT OF IT, BUT NOT MUCH 5. I DIDN,T GET ANYTHING OUT OF IT, AND CONSIDER IT A WASTE OF TIME 6. NO ANSWER 0. NO CODE OR NO DATA 9. INAPPLICABLE (OVERSEAS RETURNEES) "
"Q.38A. SINCE YOU HAVE BEEN IN THE ARMY, HAVE YOU TAKEN ANY SPECIALIST OR TECHNICAL TRAINING COURSES FOR A SPECIAL KIND OF ARMY JOB* (SUCH AS COOK, TRUCK DRIVER, CLERK, INSTRUCTOR, RADIO OPERATOR, TRUCK MECHANIC, OR OTHERS)  1. NO 2. I AM TAKING A SPECIALIST OR TECHNICAL TRAINING COURSE NOW 3. YES, I HAVE TAKEN ONE OR MORE SPECIALIST OR TECHNICAL TRAINING COURSES SINCE I,VE BEEN IN THE ARMY 4. NO ANSWER 0. NO CODE OR NO DATA 9. INAPPLICABLE (OVERSEAS RETURNEES) "
"Q.38C. ARE THERE ANY OF THESE SPECIALIST OR TECHNICAL TRAINING COURSES THAT YOU HAVE NEVER USED ON ANY ARMY JOB*  1. I HAVEN,T HAD ANY SPECIALIST OR TECHNICAL TRAINING COURSES SINCE I,VE BEEN IN THE ARMY 2. I HAVE USED EACH OF THE COURSES I,VE TAKEN 3. I HAVE TAKEN ONE OR MORE COURSES THAT I HAVE NEVER USED 4. NO ANSWER 0. NO CODE OR NO DATA 9. INAPPLICABLE (OVERSEAS RETURNEES) "
"Q.38D. IN YOUR PRESENT ARMY JOB OR DUTIES, HOW MUCH ARE YOU USING THE SPECIALIST OR TECHNICAL TRAINING COURSES THE ARMY HAS GIVEN YOU*  1. I HAVEN,T HAD ANY SPECIALIST OR TECHNICAL TRAINING COURSES 2. I USE ALL OF MY SPECIALIST OR TECHNICAL TRAINING IN MY PRESENT JOB 3. I USE MOST OF MY SPECIALIST OR TECHNICAL TRAINING IN MY PRESENT JOB 4. I USE ABOUT HALF OF IT 5. I USE HARDLY ANY OF IT 6. I NEVER USE MY SPECIALIST OR TECHNICAL TRAINING 7. NO ANSWER 9. INAPPLICABLE (OVERSEAS RETURNEES) "
"Q.39. SINCE YOU CAME INTO THE ARMY, HAVE YOU DONE PRETTY MUCH THE SAME KIND OF WORK ALL THE TIME, OR HAVE YOU BEEN SHIFTED AROUND FROM JOB TO JOB*  1. I AM TAKING BASIC TRAINING NOW FOR THE FIRST TIME 2. I HAVE HAD ONE KIND OF JOB ALL THE TIME 3. I HAVE HAD DIFFERENT JOBS, BUT THEY WERE A LOT ALIKE 4. I HAVE HAD SEVERAL JOBS THAT USED ENTIRELY DIFFERENT SKILLS 5. I HAVE HAD DIFFERENT JOBS, BUT NONE OF THEM REQUIRED MUCH SPECIAL SKILL OR TRAINING 6. NO ANSWER 0. NO CODE OR NO DATA 9. INAPPLICABLE (OVERSEAS RETURNEES) "
Q.40A. HOW MANY DIFFERENT TYPES OF ARMY JOBS HAVE YOU BEEN TRAINED FOR* (WRITE IN THE NUMBER)  01. ONE 02. TWO 03. THREE 04. FOUR 05. FIVE 06. SIX 07. SEVEN 08. EIGHT 09. NINE 10. TEN OR MORE 11. NONE 12. NO ANSWER 99. INAPPLICABLE (OVERSEAS RETURNEES) 
"Q.40B. OF THESE JOBS YOU HAVE BEEN TRAINED FOR, HOW MANY HAVE YOU ACTUALLY DONE SINCE YOU,VE BEEN IN THE ARMY* (WRITE IN THE NUMBER)  01. ONE 02. TWO 03. THREE 04. FOUR 05. FIVE 06. SIX 07. SEVEN 08. EIGHT 09. NINE 10. TEN OR MORE 11. NONE 12. NO ANSWER 99. INAPPLICABLE (OVERSEAS RETURNEES) X. Q.33A AND Q.41A CODED TOGETHER. "
"Q.33A. (OVERSEAS RETURNEES) HOW DO YOU FEEL ABOUT SERVING OVERSEAS AGAIN*  Q.41A. (NON-RETURNEES) HOW DO YOU FEEL ABOUT SERVING OVERSEAS*  1. I WANT TO GET OVERSEAS (AGAIN) AS SOON AS POSSIBLE 2. I,M READY TO GO WHENEVER I,M NEEDED 3. I,D LIKE TO STAY IN THE U.S. FOR A FEW MONTHS, BUT THEN I,LL BE READY TO GO ANYWHERE 4. I DON,T WANT TO GO OVERSEAS (AGAIN) 5. NO ANSWER 0. NO CODE OR NO DATA X. Q.34 AND Q.42 CODED TOGETHER. "
"Q.34. (OVERSEAS RETURNEES) REGARDLESS OF WHAT YOU WANT TO DO, DO YOU THINK YOU WILL ACTUALLY BE SENT TO SOME OVERSEAS THEATER AGAIN*  Q.42. (NON-RETURNEES) REGARDLESS OF WHAT YOU WANT TO DO, DO YOU THINK YOU ACTUALLY WILL BE SENT TO SOME OVERSEAS THEATER*  1. I AM VERY SURE I,LL BE SENT (OVER AGAIN) TO SOME OVERSEAS THEATER 2. I AM FAIRLY SURE I,LL BE SENT (OVER AGAIN) TO SOME OVERSEAS THEATER 3. THE CHANCES ARE ABOUT FIFTY-FIFTY 4. I AM FAIRLY SURE I,LL NOT BE SENT (OVER AGAIN) TO SOME OVERSEAS THEATER 5. I AM VERY SURE I,LL NOT BE SENT (OVER AGAIN) TO SOME OVERSEAS THEATER 6. UNDECIDED 7. NO ANSWER 0. NO CODE OR NO DATA P. EVERYONE SHOULD ANSWER THESE QUESTIONS. "
"Q.43. HOW MANY DIFFERENT BRANCHES OF THE ARMY HAVE YOU SERVED IN DURING THIS WAR, INCLUDING THE BRANCH YOU ARE IN NOW*  01. ONE 02. TWO 03. THREE 04. FOUR 05. FIVE 06. SIX 07. SEVEN 08. EIGHT 09. NINE 10. TEN OR MORE 11. NO ANSWER 00. NO CODE OR NO DATA "
Q.44. HOW LONG HAVE YOU BEEN STATIONED AT THIS POST*  1. 1 MONTH OR LESS 2. OVER 1 MONTH TO 3 MONTHS 3. OVER 3 MONTHS TO 6 MONTHS 4. OVER 6 MONTHS TO 1 YEAR 5. OVER 1 YEAR TO 2 YEARS 6. OVER 2 YEARS 7. NO ANSWER 0. NO CODE OR NO DATA 
"Q.45. WHAT DO YOU THINK OF THE MILITARY CONTROL AND DISCIPLINE AT THIS POST*  1. IT,S TOO STRICT BUT MOST OF IT IS NECESSARY 2. IT,S TOO STRICT AND A LOT OF IT IS UNNECESSARY 3. IT,S ABOUT RIGHT 4. IT,S NOT STRICT ENOUGH 5. NO ANSWER 0. NO CODE OR NO DATA "
"Q.46. ON THE WHOLE, HOW IS THE MORALE OF THE MEN IN YOUR COMPANY OR DETACHMENT*  1. VERY HIGH 2. HIGH 3. JUST SO-SO 4. LOW 5. VERY LOW 6. NO ANSWER 0. NO CODE OR NO DATA "
"Q.47. HOW MANY OF YOUR PRESENT OFFICERS ARE THE KIND THAT ALWAYS TRY TO LOOK OUT FOR THE WELFARE OF ENLISTED MEN*  1. NONE 2. FEW 3. ABOUT HALF 4. MOST 5. ALL 6. DON,T KNOW 7. NO ANSWER 0. NO CODE OR NO DATA "
"Q.48. HOW DO YOU FEEL ABOUT WHAT YOU,VE DONE IN THIS WAR*  1. I FEEL I,VE ALREADY DONE MY SHARE AS A SOLDIER AND SHOULD BE DISCHARGED 2. I FEEL I,VE ALREADY DONE MY SHARE, BUT I,M READY TO DO MORE 3. I DON,T FEEL I,VE DONE MY SHARE YET 4. NO ANSWER 0. NO CODE OR NO DATA "
Q.49. DO YOU EVER GET THE FEELING THAT THIS WAR IS NOT WORTH FIGHTING*  1. VERY OFTEN 2. SOMETIMES 3. ONLY ONCE IN A GREAT WHILE 4. NEVER 5. NO ANSWER 0. NO CODE OR NO DATA 
