CARD.  1. CARD ONE 
Q.9. HOW LONG HAVE YOU BEEN IN THE ARMY*  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS UP TO 9 MONTHS 3. OVER 9 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. OVER 2 YEARS UP TO 3 YEARS 6. OVER 3 YEARS 
Q.10. HOW LONG HAVE YOU BEEN IN THE INDIA-BURMA THEATER*  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 18 MONTHS 6. OVER 18 MONTHS UP TO 2 YEARS 7. OVER 2 YEARS 0. NO ANSWER 
Q.11. HOW LONG HAVE YOU BEEN STATIONED AT THIS PARTICULAR PLACE*  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 18 MONTHS 6. OVER 18 MONTHS UP TO 2 YEARS 7. OVER 2 YEARS 
"Q.12. IN GENERAL, HOW WELL DO YOU THINK THE ARMY IS RUN*  1. IT IS RUN VERY WELL 2. IT IS RUN PRETTY WELL 3. IT IS NOT RUN SO WELL 4. IT IS RUN VERY POORLY 5. UNDECIDED 0. NO ANSWER "
"Q.13. IN YOUR OPINION, HOW IMPORTANT IS THE JOB OF THE ARMY NURSE CORPS IN WINNING THE WAR*  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 0. NO ANSWER "
Q.14. WHAT IS YOUR MAIN ARMY JOB NOW*  1. ADMINISTRATIVE WORK 2. GENERAL NURSING WORK 3. DIETICIAN WORK 4. PHYSIOTHERAPY WORK 0. NO ANSWER 
"Q.15. DO YOU FEEL PROUD OF YOUR PRESENT JOB OR DUTY*  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT PROUD 4. UNDECIDED 0. NO ANSWER "
Q.16. HOW INTERESTED ARE YOU IN YOUR ARMY JOB*  1. VERY MUCH INTERESTED 2. A LITTLE BUT NOT MUCH 3. NOT INTERESTED AT ALL 0. NO ANSWER 
Q.17. HOW MUCH OF YOUR DUTY TIME IS USED IN DOING THINGS THAT DO NOT SEEM IMPORTANT TO YOU*  1. A LOT OF IT 2. SOME OF IT 3. ONLY A LITTLE OF IT 4. NONE OF IT 
Q.18. DO YOU CONSIDER YOUR OWN PRESENT JOB OR DUTY IN THE ARMY AN IMPORTANT ONE IN THE WAR EFFORT*  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 5. UNDECIDED 0. NO ANSWER 
"Q.19. DO YOU THINK THE COMMANDING OFFICER OF YOUR HOSPITAL UNIT CONSIDERS YOUR JOB AN IMPORTANT ONE IN THE WAR EFFORT*  1. YES, HE CONSIDERS IT IMPORTANT 2. NO, HE DOES NOT CONSIDER IT IMPORTANT 3. I HAVE NO IDEA WHETHER OR NOT HE CONSIDERS IT IMPORTANT 0. NO ANSWER "
Q.20. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NOT*  1. I USUALLY FEEL IT IS WORTHWHILE 2. I USUALLY FEEL IT IS NOT WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
Q.21. DO YOU THINK YOU ARE MAKING GOOD IN THE ARMY*  1. I FEEL PRETTY SURE I AM MAKING GOOD 2. I AM NOT SO SURE I AM MAKING GOOD 3. UNDECIDED 0. NO ANSWER 
"Q.22. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARMY*  1. I HAVE A PRETTY GOOD TIME 2. IT,S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
Q.23. DO YOU EVER FEEL THAT YOU ARE NOT AS GOOD A NURSE AS MOST OF THE OTHER NURSES IN YOUR HOSPITAL UNIT*  1. I FEEL THAT WAY NEARLY ALL OF THE TIME 2. I FEEL THAT WAY FAIRLY OFTEN 3. I FEEL THAT WAY ONLY ONCE IN A WHILE 4. I ALMOST NEVER FEEL THAT WAY 0. NO ANSWER 
"Q.24. IN GENERAL, WOULD YOU SAY YOU ARE WELL ADJUSTED OR POORLY ADJUSTED TO ARMY LIFE*  1. I AM VERY WELL ADJUSTED 2. I AM FAIRLY WELL ADJUSTED 3. I AM NOT SO WELL ADJUSTED 4. I AM VERY POORLY ADJUSTED 0. NO ANSWER "
"Q.25. DO YOU FEEL PROUD OF YOUR HOSPITAL UNIT*  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT PROUD 4. UNDECIDED 0. NO ANSWER "
Q.26. DO YOU CONSIDER THE JOB YOUR HOSPITAL UNIT IS DOING AN IMPORTANT ONE IN THE WAR EFFORT*  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 5. UNDECIDED 0. NO ANSWER 
"Q.27. IN DOING YOUR JOB, HOW MUCH SUPERVISION DO YOU GET FROM YOUR NURSE SUPERVISOR*  1. TOO MUCH SUPERVISION 2. ABOUT THE RIGHT AMOUNT 3. TOO LITTLE SUPERVISION 0. NO ANSWER "
"Q.28. DO YOU FEEL THAT THE CHIEF NURSE WHO IS IN CHARGE OF YOUR WORK REALLY KNOWS HER STUFF*  1. YES 2. NO 3. I DON,T KNOW 0. NO ANSWER "
"Q.29. DO YOU FEEL THAT YOUR CHIEF NURSE HAS AN INTEREST IN YOUR PERSONAL PROBLEMS AND WELFARE*  1. SHE HAS A GREAT DEAL OF INTEREST 2. SHE HAS A FAIR AMOUNT OF INTEREST 3. SHE DOESN,T HAVE MUCH INTEREST 4. SHE HAS NO INTEREST AT ALL 0. NO ANSWER "
"Q.30. IF YOU NEEDED ADVICE ON A PERSONAL PROBLEM, WOULD YOU FEEL FREE TO GO TO THE CHIEF NURSE AND DISCUSS IT*  1. YES 2. NO 0. NO ANSWER "
Q.31. IN YOUR HOSPITAL UNIT DO THE MOST DESERVING NURSES USUALLY GET THE BREAKS*  1. ALMOST ALWAYS 2. MOST OF THE TIME 3. ABOUT HALF OF THE TIME 4. PRETTY SELDOM 5. ALMOST NEVER 0. NO ANSWER 
"Q.32A. HOW ABOUT THE MESS FOR THE NURSES AT YOUR HOSPITAL UNIT* IS IT AS GOOD AS IT COULD BE UNDER PRESENT CIRCUMSTANCES*  1. YES, AS GOOD AS IT COULD BE 2. NO, NOT AS GOOD AS IT COULD BE 3. UNDECIDED "
Q.32B. CONSIDERING EVERYTHING HOW GOOD IS THE MAIL SERVICE YOUR HOSPITAL IS GETTING*  1. VERY GOOD 2. PRETTY GOOD 3. NOT SO GOOD 4. POOR 
"Q.33. DO YOU THINK YOUR HOSPITAL UNIT HAS TOO MANY NURSES, ABOUT THE RIGHT AMOUNT, OR TOO FEW NURSES TO ACCOMPLISH ITS MISSION SUCCESSFULLY*  1. TOO MANY NURSES 2. ABOUT THE RIGHT AMOUNT 3. TOO FEW NURSES 0. NO ANSWER "
"Q.34. IN GENERAL DO THE NURSES IN YOUR HOSPITAL UNIT HAVE TOO MUCH OFF-DUTY FREE TIME, ABOUT THE RIGHT AMOUNT, OR TOO LITTLE OFF-DUTY FREE TIME*  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. TOO LITTLE 0. NO ANSWER "
Q.35. SINCE YOU HAVE BEEN WITH THIS HOSPITAL UNIT HAVE YOU BEEN ABLE TO FIND INTERESTING THINGS TO DO ON YOUR OFF-DUTY FREE TIME*  1. I CAN USUALLY FIND INTERESTING THINGS TO DO 2. I CAN FIND INTERESTING THINGS TO DO ABOUT HALF OF THE TIME 3. I CAN VERY SELDOM FIND INTERESTING THINGS TO DO 0. NO ANSWER X. QUESTION 36 NOT CODED. 
"Q.37. DO THE NURSES IN YOUR HOSPITAL UNIT COOPERATE, AND WORK WELL TOGETHER*  1. ALL OF THE TIME 2. MOST OF THE TIME 3. OFTEN DO NOT 4. ALMOST NEVER DO 5. UNDECIDED 0. NO ANSWER "
"Q.38. HOW MANY OF THE NURSES IN YOUR HOSPITAL UNIT WOULD YOU SAY ARE GOOD ALL-AROUND NURSES*  1. ALL ARE 2. MOST ARE 3. ABOUT HALF ARE, HALF ARE NOT 4. ONLY A FEW ARE 5. ALMOST NONE ARE 0. NO ANSWER "
Q.39. DO YOU LIKE TO WORK WITH THE OTHER NURSES IN YOUR HOSPITAL UNIT*  1. WITH MOST OF THEM 2. WITH ABOUT HALF OF THEM 3. WITH ONLY A FEW OF THEM 4. UNDECIDED 0. NO ANSWER 
"Q.40A. WOULD YOU SAY THAT MOST OF THE NURSES IN YOUR HOSPITAL UNIT USUALLY PUT ALL THEY HAVE INTO THEIR ARMY DUTIES, OR DO THEY USUALLY WORK JUST HARD ENOUGH TO GET BY*  1. MOST OF THE NURSES USUALLY PUT ALL THEY HAVE INTO IT 2. MOST OF THE NURSES USUALLY WORK JUST HARD ENOUGH TO GET BY 3. UNDECIDED 0. NO ANSWER "
"Q.40B. HOW ABOUT YOU YOURSELF - WOULD YOU HONESTLY SAY THAT YOU USUALLY PUT ALL YOU HAVE INTO YOUR ARMY NURSING DUTIES, OR DO YOU USUALLY WORK JUST HARD ENOUGH TO GET BY*  1. I USUALLY PUT ALL I HAVE INTO IT 2. I USUALLY WORK JUST HARD ENOUGH TO GET BY 3. UNDECIDED 0. NO ANSWER "
"Q.41. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS*  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS "
Q.42. ARE YOU EVER WORRIED AND UPSET*  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES WORRIED AND UPSET 3. I AM OFTEN WORRIED AND UPSET 
"Q.43. IF IT WERE UP TO YOU, WHAT KIND OF AN ARMY HOSPITAL UNIT WOULD YOU RATHER BE IN*  1. IN A HOSPITAL UNIT NEAR A FIGHTING FRONT 2. IN A HOSPITAL UNIT IN A NON-COMBAT AREA OVERSEAS 3. IN A HOSPITAL UNIT STATIONED IN THE UNITED STATES 0. NO ANSWER "
"Q.44. IF IT WERE UP TO YOU TO CHOOSE, DO YOU THINK YOU COULD DO MORE FOR YOUR COUNTRY AS A NURSE IN THE ARMY, OR AS A NURSE IN A CIVILIAN HOSPITAL IN THE UNITED STATES, OR AS A WORKER IN A WAR JOB*  1. NURSE IN THE ARMY 2. NURSE IN A CIVILIAN HOSPITAL 3. A WORKER IN A WAR JOB 0. NO ANSWER "
"Q.45. WHEN YOU GET A VERY IMPORTANT JOB TO DO, DO YOU WORRY ABOUT WHETHER YOU WILL DO ALL RIGHT OR NOT*  1. I WORRY A LOT 2. I WORRY A LITTLE 3. I DON,T WORRY AT ALL 0. NO ANSWER "
"Q.46. SUPPOSE YOU WERE WORKING AT YOUR REGULAR JOB AND A DIRECTOR OF NURSES YOU HAD NEVER SEEN BEFORE CAME UP AND ASKED YOU QUESTIONS ABOUT WHAT YOU WERE DOING. DO YOU THINK YOU WOULD MAKE A GOOD IMPRESSION ON HER*  1. I,M PRETTY SURE I WOULD MAKE A GOOD IMPRESSION ON HER 2. I,M NOT SURE, BUT I THINK I WOULD MAKE A GOOD IMPRESSION ON HER 3. I DON,T THINK I WOULD MAKE SUCH A GOOD IMPRESSION ON HER 0. NO ANSWER "
"Q.47. DO TOO MANY OF THE ARMY RULES AND REGULATIONS SEEM USELESS TO YOU*  1. YES, TOO MANY SEEM USELESS 2. NO, I USED TO THINK SO BUT I DON,T THINK SO NOW 3. NO, I NEVER THOUGHT SO 4. UNDECIDED 0. NO ANSWER "
Q.48. HOW IMPORTANT IS IT TO YOU PERSONALLY TO MAKE A GOOD RECORD IN THE ARMY*  1. IT IS VERY IMPORTANT 2. IT IS PRETTY IMPORTANT 3. IT IS NOT SO IMPORTANT 4. IT IS NOT IMPORTANT AT ALL 0. NO ANSWER 
Q.49. HOW WOULD YOU RATE YOUR GENERAL PHYSICAL CONDITION DURING THE PAST MONTH*  1. MY PHYSICAL CONDITION HAS BEEN VERY GOOD 2. MY PHYSICAL CONDITION HAS BEEN PRETTY GOOD 3. MY PHYSICAL CONDITION HAS NOT BEEN SO GOOD 4. MY PHYSICAL CONDITION HAS BEEN VERY POOR 
"Q.50A. FINANCIAL MATTERS*  1. I WORRY ABOUT IT A LOT 2. I WORRY ABOUT IT SOMEWHAT 3. I DON,T WORRY ABOUT IT AT ALL "
"Q.50B. MY HEALTH*  1. I WORRY ABOUT IT A LOT 2. I WORRY ABOUT IT SOMEWHAT 3. I DON,T WORRY ABOUT IT AT ALL 0. NO ANSWER "
"Q.50C. THE PROGRESS OF THE WAR*  1. I WORRY ABOUT IT A LOT 2. I WORRY ABOUT IT SOMEWHAT 3. I DON,T WORRY ABOUT IT AT ALL 0. NO ANSWER "
"Q.50D. MY SOCIAL LIFE  1. I WORRY ABOUT IT A LOT 2. I WORRY ABOUT IT SOMEWHAT 3. I DON,T WORRY ABOUT IT AT ALL "
"Q.50E. MATTERS CONCERNING MY FAMILY AND FRIENDS BACK HOME*  1. I WORRY ABOUT IT A LOT 2. I WORRY ABOUT IT SOMEWHAT 3. I DON,T WORRY ABOUT IT AT ALL "
"Q.50F. THE WAY I AM GETTING ALONG IN THE ARMY*  1. I WORRY ABOUT IT A LOT 2. I WORRY ABOUT IT SOMEWHAT 3. I DON,T WORRY ABOUT IT AT ALL 0. NO ANSWER "
"Q.50G. NOT KNOWING WHAT IS GOING TO HAPPEN TO ME NEXT IN MY ARMY CAREER*  1. I WORRY ABOUT IT A LOT 2. I WORRY ABOUT IT SOMEWHAT 3. I DON,T WORRY ABOUT IT AT ALL "
"Q.50H. PURELY PERSONAL MATTERS NOT INCLUDED IN ANY OF THE ABOVE*  1. I WORRY ABOUT IT A LOT 2. I WORRY ABOUT IT SOMEWHAT 3. I DON,T WORRY ABOUT IT AT ALL 0. NO ANSWER X. QUESTION 51 NOT CODED. "
"Q.52. UP TO NOW, HAS THE WAR MADE THINGS BETTER OR WORSE FOR YOUR FAMILY AND FRIENDS BACK HOME (SUCH THINGS AS JOBS, PAY, AND LIVING CONDITIONS)*  1. THINGS ARE A LOT BETTER 2. THINGS ARE A LITTLE BETTER, BUT NOT MUCH 3. THINGS ARE A LOT WORSE 4. THINGS ARE A LITTLE WORSE 5. I DON,T SEE ANY DIFFERENCE 6. DON,T KNOW 0. NO ANSWER X. QUESTION 53 NOT CODED. "
V.54. IDENTIFICATION OF HOSPITALS:  1. 142ND GENERAL HOSPITAL - WHICH HAD ONE OF THE LARGEST CONCENTRATIONS OF NURSE PERSONNEL IN THE THEATER 2. 20TH GENERAL HOSPITAL - ALSO HAD ONE OF THE LARGEST CONCENTRATIONS OF NURSE PERSONNEL IN THE THEATER 3. 69TH GENERAL HOSPITAL - A SMALL HOSPITAL 4. 14TH EVACUATION HOSPITAL 5. 48TH EVACUATION HOSPITAL 
V.55. SERIAL NUMBERING WITHIN EACH HOSPITAL:  ANP X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. 
