CARD.  1. CARD ONE 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  164 1. IN BUSINESS FOR MYSELF 6494 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  156 1. GOING TO FULL-TIME SCHOOL 6502 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  193 1. WORKING PART-TIME 6465 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  19 1. GOING TO SCHOOL PART-TIME 6639 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  69 1. COMBINATION OF CODES (COLUMNS 23 AND 27 ABOVE) 6589 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  11 1. COMBINATION OF CODES (COLUMNS 23 AND 28 ABOVE) 6647 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  197 1. COMBINATION OF CODES (COLUMNS 24 AND 28 ABOVE) 6461 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  24 1. COMBINATION OF CODES (COLUMNS 26 AND 27 ABOVE) 6634 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  66 1. COMBINATION OF CODES (COLUMNS 27 AND 28 ABOVE) 6592 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  19 1. NO ANSWER 6639 2. NOT CHOSEN 
"Q.15B. JUST WHAT DID YOU DO*  01. ACCOUNTANTS AND AUDITORS, STATISTICIANS 02. ACTRESSES, DANCERS, SINGERS, ENTERTAINERS (NOT MUSICIANS) 03. ARTISTS, COMMERCIAL ARTISTS, ETC. 04. CHEMISTS, PHARMACISTS 05. DIETITIANS 06. DRAFTSMAN, DESIGNERS 07. INTERIOR DECORATORS, WINDOW DRESSERS 08. LAWYERS 09. LIBRARIANS 10. MUSICIANS AND MUSIC TEACHERS 11. NURSES, TRAINED AND STUDENT NURSES (NOT PRACTICAL NURSES) 12. PERSONNEL WORKERS 13. PHOTOGRAPHERS 14. REPORTERS, AND WRITERS, PUBLIC RELATIONS, ETC., WRITERS, PUBLICITY ETC. 15. SOCIAL WORKERS, SOCIAL RECREATIONAL DIRECTOR 16. TEACHERS, (OTHER THAN MUSIC) AND SCHOOL SUPERVISORS 17. DOCTOR 18. RESEARCH WORKERS; ANALYSTS 19. RADIO OPERATORS 20. MANAGERS OR OWNERS, WHOLESALE AND RETAIL TRADE, INCLUDES INSURANCE AND REAL ESTATE, (BUYERS AND DEPARTMENT STORE HEADS) 21. MANAGERS OR OWNERS, EATING AND DRINKING PLACES 22. MANAGERS OR OWNERS, SERVICE ESTABLISHMENTS; SUCH AS BEAUTY SHOPS, ETC. 23. RESIDENT MANAGERS, APARTMENT HOUSES (INCLUDES BOARDING AND LODGING HOUSE KEEPERS) 24. SUPERVISORY AND ADMINISTRATIVE WORKERS - OFFICE 25. TECHNICIANS, DARKROOM (PHOTOGRAPHIC WORKERS) 26. TECHNICIANS, DENTAL 27. TECHNICIANS, LABORATORY 28. TECHNICIANS, MEDICAL AND SURGICAL 29. CRYPTOGRAPHER; OR CODE CLERK IN SIGNAL CORPS 30. BOOKKEEPERS 31. CASHIERS AND TICKET AGENTS 32. CLERKS, FILE 33. CLERKS, ALL OTHERS (INCLUDES RECEPTIONISTS) 34. CLERKS, OPERATING OFFICE MACHINES 35. CLERKS, PERSONNEL 36. CLERK-TYPIST 37. STENOGRAPHERS AND SECRETARIES 38. TELEPHONE OPERATORS 39. TYPISTS (INCLUDES TELETYPE OPERATORS) 40. SALESPERSONS 41. ATTENDANTS, HOSPITALS AND OTHER INSTITUTIONS 42. ATTENDANTS, RECREATION AND AMUSEMENT (INCLUDES USHERS) 43. ATTENDANTS, DOCTORS, AND DENTISTS, OFFICES 44. PHYSIOTHERAPIST, OCCUPATIONAL THERAPIST 45. BEAUTY OPERATORS AND MANICURISTS 46. ELEVATOR OPERATORS 47. HOUSEKEEPERS (NOT IN OWN HOME) 48. PRACTICAL NURSES AND NURSE MAIDS 49. SERVANTS, DOMESTIC 50. BUTCHERS AND MEATCUTTERS 51. CLEANERS, EXCEPT IN PRIVATE FAMILY 52. COOKS AND BAKERS 53. KITCHEN WORKERS, HOTEL AND RESTAURANT 54. WAITRESSES, SODA JERKERS, HOSTESSES, ETC. COUNTER GIRL 55. CHAUFFEURS AND DRIVERS, BUS, TAXI, TRUCK OR TRACTORS 56. DETECTIVES; GUARDS 57. MODEL 58. MANAGERS AND OWNERS OF RECREATION ESTABLISHMENTS 60. FACTORY WORKERS (EXCEPT FORELADIES OR TRAINERS) 61. FILLING STATION ATTENDANTS, SERVICING AIRPLANES 62. FORELADIES OR TRAINERS 63. LAUNDRESSES AND LAUNDRY WORKERS 64. MECHANICAL WORKERS, REPAIRMEN, ETC. PAINTERS 65. MUNITIONS HANDLERS (NOT IN FACTORIES) 66. SEAMSTRESSES AND DRESSMAKERS (NOT IN FACTORIES) 67. PARACHUTE RIGGERS AND PACKERS, ETC. 68. DISPATCHER, AIRPLANES ONLY 70. FARM WORKERS 71. GOVERNMENT INSPECTORS 72. CONTROL TOWER OPERATORS - SIGNAL OPERATOR ON RAILROAD 73. LINK TRAINER, INSTRUCTOR, PILOTS 74. WEATHER OBSERVER 75. AIR STEWARDESS 76. PROJECTIONIST 77. TRANSLATOR; INTERPRETER 78. UNCLASSIFIABLE 79. I NEVER HAD A FULL TIME JOB 80. UNDECIDED, DON,T KNOW, HAVEN,T ANY IDEA, ETC. 81. OFFICE WORK (NO INDICATION WHAT TYPE) 82. WAC 00. NO ANSWER X. QUESTIONS 15C AND 15D NOT CODED. "
"Q.16. DID YOU EVER TAKE ANY WAC (WAAC) OR ARMY SPECIALIST TRAINING* (DO NOT INCLUDE BASIC TRAINING.)  1. YES 2. NO 3. I,M TAKING SPECIAL TRAINING NOW 0. NO ANSWER "
"Q.17. IN YOUR PRESENT ARMY JOB, ARE YOU USING THIS SPECIAL ARMY TRAINING*  1. I USE MY TRAINING ALL THE TIME 2. I USE MY TRAINING MOST OF THE TIME 3. I USE MY TRAINING ABOUT HALF THE TIME 4. I HARDLY EVER USE MY TRAINING 5. I NEVER USE MY TRAINING 6. I,M TAKING SPECIAL TRAINING NOW 7. I DO NOT HAVE ANY SPECIAL ARMY TRAINING 0. NO ANSWER "
"Q.18B. WHAT ARE YOUR DUTIES IN CONNECTION WITH THIS JOB*  01. ACCOUNTANTS AND AUDITORS, STATISTICIANS 02. ACTRESSES, DANCERS, SINGERS, ENTERTAINERS (NOT MUSICIANS) 03. ARTIST, COMMERCIAL ARTISTS, ETC. 04. CHEMIST, PHARMACISTS 05. DIETITIAN 06. DRAFTSMEN, DESIGNERS 07. INTERIOR DECORATORS; WINDOW DRESSERS 08. LAWYERS 09. LIBRARIANS 10. MUSICIANS AND MUSIC TEACHERS 11. NURSES, TRAINED AND STUDENT NURSES (NOT PRACTICAL NURSE) 12. PERSONNEL WORKERS 13. PHOTOGRAPHERS 14. REPORTERS, AND WRITERS, PUBLIC RELATIONS, ETC. 15. SOCIAL WORKERS, RECREATIONAL DIRECTOR 16. TEACHERS (OTHER THAN MUSIC) AND SCHOOL SUPERVISORS 17. DOCTORS 18. RESEARCH WORKERS; ANALYSTS 19. RADIO OPERATOR 20. MANAGERS OR OWNERS, WHOLESALE AND RETAIL TRADE (INCLUDES INSURANCE AND REAL ESTATE) 21. MANAGERS OR OWNERS, EATING AND DRINKING PLACES 22. MANAGERS OR OWNERS, SERVICE ESTABLISHMENTS; SUCH AS, BEAUTY SHOPS, ETC. 23. RESIDENT MANAGERS, APARTMENT HOUSES (INCLUDES BOARDING AND LODGING HOUSE KEEPERS) 24. SUPERVISORY AND ADMINISTRATIVE WORKERS, OFFICE 25. TECHNICIANS, DARKROOM (PHOTOGRAPHIC WORKERS) 26. TECHNICIANS, DENTAL 27. TECHNICIANS, LABORATORY 28. TECHNICIANS, MEDICAL AND SURGICAL 29. CRYPTOGRAPHER; OR CODE CLERK IN SIGNAL CORPS 30. BOOKKEEPERS 31. CASHIERS AND TICKET AGENTS 32. CLERKS, FILE 33. CLERKS, ALL OTHERS (INCLUDES RECEPTIONISTS) 34. CLERKS, OPERATING OFFICE MACHINES 35. CLERKS, PERSONNEL 36. CLERK-TYPIST 37. STENOGRAPHERS AND SECRETARIES 38. TELEPHONE OPERATORS 39. TYPISTS (INCLUDES TELETYPE OPERATORS) 40. SALESPERSONS 41. ATTENDANTS, HOSPITALS AND OTHER INSTITUTIONS 42. ATTENDANTS, RECREATION AND AMUSEMENT (INCLUDES USHERS) 43. ATTENDANTS, DOCTORS, AND DENTISTS, OFFICES 44. PHYSIOTHERAPIST, OCCUPATIONAL THERAPIST 45. BEAUTY OPERATORS AND MANICURISTS 46. ELEVATOR OPERATORS 47. HOUSEKEEPERS (NOT IN OWN HOME) 48. PRACTICAL NURSES AND NURSE MAIDS 49. SERVANTS, DOMESTIC 50. BUTCHERS AND MEATCUTTERS 51. CLEANERS, EXCEPT IN PRIVATE FAMILY 52. COOKS AND BAKERS 53. KITCHEN WORKERS, HOTEL AND RESTAURANT 54. WAITRESSES, SODA JERKERS, HOSTESSES, ETC. COUNTER GIRL 55. CHAUFFEURS AND DRIVERS, BUS, TAXI, TRUCK OR TRACTORS 56. DETECTIVES, GUARDS 57. MODEL 58. MANAGERS AND OWNERS OF RECREATION ESTABLISHMENTS 60. FACTORY WORKERS (EXCEPT FORELADIES OR TRAINERS) 61. FILLING STATION ATTENDANTS, SERVICING AIRPLANES 62. FORELADIES OR TRAINERS 63. LAUNDRESSES AND LAUNDRY WORKERS 64. MECHANICAL WORKERS, REPAIRMEN, ETC. PAINTERS 65. MUNITIONS HANDLERS (NOT IN FACTORIES) 66. SEAMSTRESSES AND DRESSMAKERS (NOT IN FACTORIES) 67. PARACHUTE RIGGERS AND PACKERS, ETC. 68. DISPATCHER, AIRPLANES ONLY 70. FARM WORKERS 71. GOVERNMENT INSPECTORS 72. CONTROL TOWER OPERATOR - SIGNAL OPERATOR ON RAILROAD 73. LINK TRAINER INSTRUCTOR, PILOTS 74. WEATHER OVERSEER 75. AIR STEWARDESS 76. PROJECTIONIST 77. TRANSLATOR; INTERPRETER 78. UNCLASSIFIABLE 79. UNDECIDED; DON,T KNOW; HAVEN,T ANY IDEA, ETC. 80. OFFICE WORK (NO INDICATION WHAT TYPE) 81. WAC 00. NO ANSWER Q.18B1. EVALUATION OF ASSIGNMENT SCORE* "
"Q.18B. WHAT ARE YOUR DUTIES IN CONNECTION WITH THIS JOB*  1669 1. ARMY JOB SIMILAR TO CIVILIAN JOB OR EXPERIENCE 319 2. ARMY JOB SIMILAR TO TRAINING IN Q.13 (CIVILIAN TRAINING) 1306 3. ARMY JOB SIMILAR TO TRAINING IN Q.16 (ARMY TRAINING) 191 4. COMBINATION OF CODES 2 AND 3 ABOVE 1921 5. ARMY JOB NOT SIMILAR TO CIVILIAN JOB OR TRAINING IN CIVILIAN LIFE OR ARMY, BUT WAC IS AS WELL ASSIGNED AS POSSIBLE 530 6. MISASSIGNED 139 7. MALASSIGNED 51 8. MISASSIGNED AND MALASSIGNED 532 0. NO ANSWER "
"Q.18C. WHERE DO YOU WORK*  01. HOSPITAL 02. MOTOR POOL OR AUTOMOTIVE SECTION 03. HEADQUARTERS DETACHMENT (INCLUDES ADJUTANT,S OFFICE, OFFICERS REPLACEMENT, POOL, CHAPLAIN CORPS, JUDGE ADVOCATES OFFICE, FINANCE, BASE) 04. WAC DETACHMENT 05. POST OFFICE 06. SUPPLY (INCLUDES Q.M., COMMISSARY, ETC.) 07. OTHER 08. POST OFFICE 09. STATISTICAL CONTROL DIVISION (IBM) 10. CLASSIFICATION AND PERSONNEL 11. PORT TERMINAL OR PORT HEADQUARTERS 00. NO ANSWER "
Q.19. HAVE YOU ALWAYS BEEN DOING THIS KIND OF WORK SINCE YOU LEFT THE WAC (WAAC) TRAINING CENTER*  1. YES 2. NO 0. NO ANSWER 
"Q.20. DO YOU USE THE CIVILIAN TRAINING AND EXPERIENCE YOU HAD BEFORE YOU CAME IN THE ARMY IN YOUR PRESENT ARMY JOB OR ASSIGNMENT*  1. YES, MOST OF THE TIME 2. YES, ONCE IN A WHILE 3. NO, NEVER 0. NO ANSWER "
"Q.21. DO YOU THINK YOUR ABILITIES AND PREVIOUS EXPERIENCE FIT YOU BETTER FOR SOME OTHER JOB OR ASSIGNMENT*  1. YES, I WOULD FIT BETTER IN A DIFFERENT JOB 2. NO, I AM BEST FITTED FOR MY PRESENT JOB 0. NO ANSWER "
"Q.22. ON YOUR JOB, WHO IS YOUR IMMEDIATE SUPERIOR, OR THE PERSON FROM WHOM YOU TAKE ORDERS*  1. ANOTHER WAC ENLISTED WOMAN 2. NOT CHOSEN "
"Q.22. ON YOUR JOB, WHO IS YOUR IMMEDIATE SUPERIOR, OR THE PERSON FROM WHOM YOU TAKE ORDERS*  435 1. A WAC OFFICER 6223 2. NOT CHOSEN "
"Q.22. ON YOUR JOB, WHO IS YOUR IMMEDIATE SUPERIOR, OR THE PERSON FROM WHOM YOU TAKE ORDERS*  2084 1. AN ENLISTED MAN 4574 2. NOT CHOSEN "
"Q.22. ON YOUR JOB, WHO IS YOUR IMMEDIATE SUPERIOR, OR THE PERSON FROM WHOM YOU TAKE ORDERS*  2868 1. A MALE OFFICER 3790 2. NOT CHOSEN "
"Q.22. ON YOUR JOB, WHO IS YOUR IMMEDIATE SUPERIOR, OR THE PERSON FROM WHOM YOU TAKE ORDERS*  342 1. A CIVILIAN 6316 2. NOT CHOSEN "
"Q.22. ON YOUR JOB, WHO IS YOUR IMMEDIATE SUPERIOR, OR THE PERSON FROM WHOM YOU TAKE ORDERS*  276 1. OTHER 6382 2. NOT CHOSEN "
"Q.22. ON YOUR JOB, WHO IS YOUR IMMEDIATE SUPERIOR, OR THE PERSON FROM WHOM YOU TAKE ORDERS*  462 1. NO ANSWER 6196 2. NOT CHOSEN "
Q.23. DO YOU FEEL THAT YOU ARE TAKEN OFF YOUR MAIN JOB FOR OTHER DUTIES MORE OFTEN THAN YOU SHOULD BE*  1. YES 2. NO 0. NO ANSWER 
Q.24. ARE THERE PARTS OF YOUR JOB THAT COULD BE DONE IN SIMPLER WAYS THEN THEY ARE NOW BEING DONE*  1. MUCH OF MY WORK COULD BE DONE IN SIMPLER WAYS 2. SOME OF MY WORK COULD BE DONE IN SIMPLER WAYS 3. PRESENT METHODS OF DOING MY WORK ARE AS SIMPLE AS POSSIBLE 0. NO ANSWER 
"Q.25. ABOUT HOW MUCH OF THE TIME ARE YOU KEPT BUSY*  1. I USUALLY DON,T HAVE ENOUGH WORK TO DO 2. I HAVE ENOUGH TO DO SOME OF THE TIME BUT USUALLY COULD DO MORE 3. I HAVE ENOUGH TO DO MOST OF THE TIME BUT SOMETIMES COULD DO MORE 4. I HAVE JUST ENOUGH TO DO TO KEEP ME BUSY 5. I HAVE SO MUCH TO DO I CAN,T USUALLY GET IT DONE DURING REGULAR WORKING HOURS 6. PEAKS AND LULLS, SOMETIMES TOO BUSY, SOMETIMES NOT SO BUSY 0. NO ANSWER "
"Q.26. DO YOU FEEL THAT THERE IS UNNECESSARY WORK DONE IN YOUR SECTION*  1. THERE IS A GREAT DEAL OF UNNECESSARY WORK 2. THERE IS A CONSIDERABLE AMOUNT 3. THERE IS SOME, BUT NOT MUCH 4. THERE IS NO UNNECESSARY WORK 0. NO ANSWER "
Q.27. HOW OFTEN DO YOU HAVE TO DO A JOB OVER BECAUSE SOMEONE CHANGES HIS MIND ABOUT HOW IT SHOULD BE DONE*  1. FREQUENTLY 2. OCCASIONALLY 3. SELDOM 4. NEVER 0. NO ANSWER 
Q.28. DO YOU FEEL THAT THE SECTION CHIEF OR IMMEDIATE SUPERIOR ON YOUR JOB KNOWS WHAT YOUR ABILITIES ARE*  1. HE HAS A GOOD IDEA OF MY ABILITIES 2. HE HAS A FAIR IDEA OF MY ABILITIES 3. HE KNOWS LITTLE OR NOTHING OF MY ABILITIES 0. NO ANSWER 
Q.29. WHEN YOU DO A PARTICULARLY GOOD JOB DO YOU USUALLY GET RECOGNITION OR PRAISE FOR IT FROM YOUR SECTION CHIEF OR IMMEDIATE SUPERIOR*  1. ALWAYS 2. USUALLY 3. RARELY 4. NEVER 0. NO ANSWER 
"Q.30. IN GENERAL, WOULD YOU SAY THAT YOUR SECTION CHIEF OR IMMEDIATE SUPERIOR IS FAVORABLE OR UNFAVORABLE TOWARD THE WAC*  1. FAVORABLE TOWARD THE WAC 2. UNFAVORABLE TOWARD THE WAC 0. NO ANSWER "
Q.31. IS YOUR SECTION CHIEF OR IMMEDIATE SUPERIOR FAIR MINDED ENOUGH TO TREAT EVERYONE UNDER HIM ALIKE*  1. ALWAYS 2. USUALLY 3. SOMETIMES 4. HARDLY EVER 5. NEVER 0. NO ANSWER 
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  1. CIVILIANS 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  4209 1. ENLISTED MEN 2449 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  1693 1. MALE OFFICERS 4965 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  285 1. WAC OFFICERS 6373 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  3863 1. OTHER WAC ENLISTED PERSONNEL 2795 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  147 1. OTHER (THIS INCLUDES NURSES) 6511 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  26 1. I WORK UNDER NO ONE 6632 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  182 1. FIVE CATEGORIES CHECKED ABOVE 6476 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  3 1. ALL SIX CATEGORIES CHECKED (COLUMNS 63-68 ABOVE) 6655 2. NOT CHOSEN "
"Q.32. ON YOUR PRESENT JOB, DO YOU WORK UNDER THE SAME SUPERIOR WITH:  477 1. NO ANSWER 6181 2. NOT CHOSEN "
"Q.33. ON THE WHOLE, DO YOU LIKE OR DISLIKE WORKING WITH CIVILIANS ON YOUR PRESENT JOB*  1. ON THE WHOLE, I LIKE WORKING WITH CIVILIANS 2. ON THE WHOLE, I DISLIKE WORKING WITH CIVILIANS 3. IT DOESN,T MAKE ANY DIFFERENCE TO ME 4. I DON,T WORK WITH CIVILIANS 0. NO ANSWER "
"Q.34. IN YOUR OPINION, HOW NECESSARY IS IT TO HAVE CIVILIANS WORKING ON ARMY JOBS AT YOUR POST OR CAMP*  1. IT IS VERY NECESSARY 2. IT IS PRETTY NECESSARY 3. IT IS NOT SO NECESSARY 4. IT IS NOT NECESSARY AT ALL 5. UNDECIDED 0. NO ANSWER "
Q.35. ARE YOUR WORKING CONDITIONS ABOUT AS GOOD AS THEY COULD BE*  1. ABOUT AS GOOD AS THEY COULD BE 2. COULD BE A LITTLE BETTER 3. COULD BE A LOT BETTER 0. NO ANSWER 
Q.36. HOW WELL SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY JOB INSTEAD OF SOME OTHER ARMY JOB*  1. VERY SATISFIED 2. SATISFIED 3. IT DOES NOT MAKE ANY DIFFERENCE TO ME 4. DISSATISFIED 5. VERY DISSATISFIED 0. NO ANSWER 
Q.37. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NOT*  1. I USUALLY FEEL IT IS NOT WORTHWHILE 2. I USUALLY FEEL IT IS WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
Q.38. HOW INTERESTED ARE YOU IN YOUR ARMY JOB*  1. VERY MUCH INTERESTED 2. A LITTLE BUT NOT MUCH 3. NOT INTERESTED AT ALL 0. NO ANSWER 
"Q.39. HOW DO YOU FEEL ABOUT THE IMPORTANCE OF THE WORK YOU ARE DOING RIGHT NOW AS COMPARED WITH OTHER JOBS YOU MIGHT BE DOING IN THE ARMY*  1. IT IS AS IMPORTANT AS ANY OTHER JOB I COULD DO 2. IT IS FAIRLY IMPORTANT, BUT I COULD DO MORE IMPORTANT WORK 3. IT HARDLY SEEMS IMPORTANT AT ALL 0. NO ANSWER X. COL. 80 NOT USED. CARD 2 "
CARD.  2. CARD TWO 
DECK.  194. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
"Q.40. WOULD YOU TRANSFER TO SOME OTHER ARMY ASSIGNMENT, IF GIVEN A CHANCE*  1. YES, DEPENDING ON THE ASSIGNMENT 2. YES, TO ALMOST ANY OTHER ASSIGNMENT 3. NO 4. UNDECIDED 0. NO ANSWER "
Q.41. HAVE YOU GAINED ANY SKILLS SINCE YOU HAVE BEEN IN THE WAC (WAAC) WHICH WOULD HELP YOU GET A BETTER JOB AFTER THE WAR*  1. YES 2. NO 0. NO ANSWER 
Q.42. WHAT KIND OF A CHANCE FOR PROMOTION DO YOU THINK YOUR PRESENT WAC JOB OFFERS*  1. A GOOD CHANCE 2. A FAIR CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 0. NO ANSWER 
Q.43. HAS THE SITUATION IN REGARD TO RATINGS OR PROMOTIONS ON YOUR PARTICULAR JOB EVER BEEN EXPLAINED TO YOU*  1. YES 2. NO 0. NO ANSWER 
